power_budget,powermode_random,bs_random,optim_time_random,optim_power_random,time_budget,arr_rate,soln_random,powermode_nn,bs_nn,optim_time_nn,optim_power_nn,soln_nn,flag,time_scaled,time_cond1,time_cond2
46,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
47,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
48,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
49,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
50,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.06,80,1,12_2201600_318750000_2133000000,1,2.108832001686096,29.095,1,True,0.0021088320016860963,0.014608832001686098,0.16870656013488772
10,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,80,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,0.8022377600669861,0.1790208053588867
11,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,80,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,0.8022377600669861,0.1790208053588867
12,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,80,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,0.8022377600669861,0.1790208053588867
13,4_2201600_930750000_2133000000,1.0,2.0895040035247803,28.384,0.07,80,0,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,0.8022377600669861,0.1790208053588867
14,12_422400_114750000_665600000,1.0,11.383920192718506,13.59,0.07,80,1,4_1958400_522750000_2133000000,64,2.237760066986084,26.882,0,False,0.002237760066986084,0.8022377600669861,0.1790208053588867
15,8_729600_318750000_665600000,1.0,6.139024019241333,14.103,0.07,80,1,8_729600_318750000_665600000,4,6.2133119106292725,14.907,1,True,0.0062133119106292725,0.056213311910629275,0.4970649528503418
16,4_1651200_318750000_665600000,4.0,4.645807981491089,15.615,0.07,80,1,4_1651200_318750000_665600000,1,4.306319952011108,16.219,1,True,0.004306319952011108,0.01680631995201111,0.34450559616088866
17,12_1958400_318750000_665600000,1.0,4.116288185119629,16.818,0.07,80,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.016616288185119628,0.32930305480957034
18,4_1651200_726750000_665600000,1.0,3.9901119470596313,17.528,0.07,80,1,12_1958400_318750000_665600000,1,4.116288185119629,16.818,1,True,0.004116288185119629,0.016616288185119628,0.32930305480957034
19,8_1651200_726750000_2133000000,4.0,2.7279999256134038,18.027,0.07,80,1,4_1344000_522750000_3199000000,4,3.546031951904297,19.044,1,True,0.003546031951904297,0.0535460319519043,0.2836825561523438
20,8_1651200_726750000_2133000000,4.0,2.7279999256134038,18.027,0.07,80,1,4_1344000_522750000_3199000000,4,3.546031951904297,19.044,1,True,0.003546031951904297,0.0535460319519043,0.2836825561523438
21,8_1651200_726750000_2133000000,4.0,2.7279999256134038,18.027,0.07,80,1,4_1651200_726750000_3199000000,4,2.649232029914856,21.451,1,True,0.002649232029914856,0.05264923202991486,0.21193856239318848
22,4_1651200_726750000_3199000000,1.0,2.639871954917908,21.456,0.07,80,1,8_1651200_726750000_2133000000,4,2.727999925613404,18.027,1,True,0.002727999925613404,0.05272799992561341,0.21823999404907232
