powermode_algo,infer_time_algo,bs_algo,interleaved_power_algo,power_budget,num_train_batches_algo,num_tries_algo,time_budget,arr_rate,powermode_optim,infer_time_optim,bs_optim,interleaved_power_optim,num_train_batches_optim,num_tries_optim
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,23.0,1.0,13.0,0.5,40.0,8_1651200_522750000_2133000000,3.049296021461487,16.0,22.085,2.0,1.0
4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,24.0,2.0,12.0,0.5,40.0,4_2201600_522750000_2133000000,2.6525919437408447,16.0,23.729,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,25.0,2.0,12.0,0.5,40.0,12_2201600_522750000_2133000000,2.635599970817566,16.0,24.688,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,26.0,2.0,12.0,0.5,40.0,4_1958400_726750000_2133000000,2.4784159660339355,16.0,25.974,2.0,1.0
8_1651200_522750000_3199000000,3.000656008720398,16.0,23.78,27.0,2.0,12.0,0.5,40.0,12_1958400_726750000_2133000000,2.4744319915771484,16.0,26.382,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,28.0,2.0,12.0,0.5,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,29.0,2.0,12.0,0.5,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,30.0,2.0,12.0,0.5,40.0,8_1344000_930750000_3199000000,2.883952021598816,16.0,29.882,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,31.0,2.0,12.0,0.5,40.0,4_1651200_930750000_3199000000,2.4606720209121704,16.0,30.382,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,32.0,2.0,12.0,0.5,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,33.0,2.0,12.0,0.5,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,34.0,2.0,12.0,0.5,40.0,4_2201600_1134750000_2133000000,2.1292001008987427,16.0,33.199,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,35.0,3.0,12.0,0.5,40.0,8_2201600_1134750000_2133000000,2.105136036872864,16.0,34.602,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,36.0,3.0,12.0,0.5,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,37.0,3.0,12.0,0.5,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,38.0,3.0,12.0,0.5,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,39.0,3.0,12.0,0.5,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,40.0,3.0,12.0,0.5,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,41.0,3.0,12.0,0.5,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,42.0,3.0,12.0,0.5,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,43.0,4.0,12.0,0.5,40.0,8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,44.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,45.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,46.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,47.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,48.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,49.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,50.0,4.0,12.0,0.5,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
,,,,10.0,,25.0,0.6,40.0,,,,,,1.0
,,,,11.0,,25.0,0.6,40.0,,,,,,1.0
,,,,12.0,,25.0,0.6,40.0,,,,,,1.0
,,,,13.0,,25.0,0.6,40.0,,,,,,1.0
,,,,14.0,,25.0,0.6,40.0,,,,,,1.0
8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,15.0,0.0,12.0,0.6,40.0,8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,0.0,1.0
8_1344000_114750000_2133000000,8.428063869476318,16.0,15.454,16.0,0.0,12.0,0.6,40.0,12_1958400_114750000_665600000,8.274400234222412,4.0,15.748,0.0,1.0
8_1651200_114750000_3199000000,8.262288093566895,16.0,16.557,17.0,0.0,12.0,0.6,40.0,4_1036800_318750000_665600000,5.277968168258667,16.0,16.958,1.0,1.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,18.0,0.0,12.0,0.6,40.0,4_1958400_318750000_665600000,4.168464183807373,16.0,17.861,1.0,1.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,19.0,0.0,12.0,0.6,40.0,4_1958400_522750000_665600000,3.808495998382568,16.0,18.573,1.0,1.0
8_1958400_522750000_665600000,4.026656150817871,16.0,19.364,20.0,1.0,13.0,0.6,40.0,4_1958400_318750000_2133000000,3.479456067085266,16.0,19.679,1.0,1.0
8_2201600_522750000_665600000,3.8727680444717407,16.0,20.169,21.0,1.0,13.0,0.6,40.0,8_2201600_318750000_2133000000,3.43012797832489,16.0,20.881,1.0,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,22.0,1.0,13.0,0.6,40.0,4_1344000_522750000_2133000000,3.3899519443511963,16.0,21.684,2.0,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,23.0,1.0,13.0,0.6,40.0,8_1651200_522750000_2133000000,3.049296021461487,16.0,22.085,2.0,1.0
4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,24.0,2.0,12.0,0.6,40.0,4_2201600_522750000_2133000000,2.6525919437408447,16.0,23.729,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,25.0,2.0,12.0,0.6,40.0,12_2201600_522750000_2133000000,2.635599970817566,16.0,24.688,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,26.0,2.0,12.0,0.6,40.0,4_1958400_726750000_2133000000,2.4784159660339355,16.0,25.974,2.0,1.0
8_1651200_522750000_3199000000,3.000656008720398,16.0,23.78,27.0,2.0,12.0,0.6,40.0,12_1958400_726750000_2133000000,2.4744319915771484,16.0,26.382,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,28.0,2.0,12.0,0.6,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,29.0,2.0,12.0,0.6,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,30.0,2.0,12.0,0.6,40.0,8_1344000_930750000_3199000000,2.883952021598816,16.0,29.882,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,31.0,2.0,12.0,0.6,40.0,4_1651200_930750000_3199000000,2.4606720209121704,16.0,30.382,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,32.0,2.0,12.0,0.6,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,33.0,2.0,12.0,0.6,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,34.0,2.0,12.0,0.6,40.0,4_2201600_1134750000_2133000000,2.1292001008987427,16.0,33.199,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,35.0,3.0,12.0,0.6,40.0,8_2201600_1134750000_2133000000,2.105136036872864,16.0,34.602,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,36.0,3.0,12.0,0.6,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,37.0,3.0,12.0,0.6,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,38.0,3.0,12.0,0.6,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,39.0,3.0,12.0,0.6,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,40.0,3.0,12.0,0.6,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,41.0,3.0,12.0,0.6,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,42.0,3.0,12.0,0.6,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,43.0,4.0,12.0,0.6,40.0,8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,44.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,45.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,46.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,47.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,48.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,49.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,50.0,4.0,12.0,0.6,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
,,,,10.0,,25.0,0.7,40.0,,,,,,1.0
,,,,11.0,,25.0,0.7,40.0,,,,,,1.0
,,,,12.0,,25.0,0.7,40.0,,,,,,1.0
,,,,13.0,,25.0,0.7,40.0,,,,,,1.0
,,,,14.0,,25.0,0.7,40.0,,,,,,1.0
8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,15.0,0.0,12.0,0.7,40.0,8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,0.0,1.0
8_1344000_114750000_2133000000,8.428063869476318,16.0,15.454,16.0,0.0,12.0,0.7,40.0,12_1958400_114750000_665600000,8.274400234222412,4.0,15.748,0.0,1.0
8_1651200_114750000_3199000000,8.262288093566895,16.0,16.557,17.0,0.0,12.0,0.7,40.0,4_1036800_318750000_665600000,5.277968168258667,16.0,16.958,1.0,1.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,18.0,0.0,12.0,0.7,40.0,4_1958400_318750000_665600000,4.168464183807373,16.0,17.861,1.0,1.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,19.0,0.0,12.0,0.7,40.0,4_1958400_522750000_665600000,3.808495998382568,16.0,18.573,1.0,1.0
8_1958400_522750000_665600000,4.026656150817871,16.0,19.364,20.0,1.0,13.0,0.7,40.0,4_1958400_318750000_2133000000,3.479456067085266,16.0,19.679,1.0,1.0
8_2201600_522750000_665600000,3.8727680444717407,16.0,20.169,21.0,1.0,13.0,0.7,40.0,8_2201600_318750000_2133000000,3.43012797832489,16.0,20.881,1.0,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,22.0,1.0,13.0,0.7,40.0,4_1344000_522750000_2133000000,3.3899519443511963,16.0,21.684,2.0,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,23.0,1.0,13.0,0.7,40.0,8_1651200_522750000_2133000000,3.049296021461487,16.0,22.085,2.0,1.0
4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,24.0,2.0,12.0,0.7,40.0,4_2201600_522750000_2133000000,2.6525919437408447,16.0,23.729,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,25.0,2.0,12.0,0.7,40.0,12_2201600_522750000_2133000000,2.635599970817566,16.0,24.688,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,26.0,2.0,12.0,0.7,40.0,4_1958400_726750000_2133000000,2.4784159660339355,16.0,25.974,2.0,1.0
8_1651200_522750000_3199000000,3.000656008720398,16.0,23.78,27.0,2.0,12.0,0.7,40.0,12_1958400_726750000_2133000000,2.4744319915771484,16.0,26.382,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,28.0,2.0,12.0,0.7,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,29.0,2.0,12.0,0.7,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,30.0,2.0,12.0,0.7,40.0,8_1344000_930750000_3199000000,2.883952021598816,16.0,29.882,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,31.0,2.0,12.0,0.7,40.0,4_1651200_930750000_3199000000,2.4606720209121704,16.0,30.382,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,32.0,2.0,12.0,0.7,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,33.0,2.0,12.0,0.7,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,34.0,2.0,12.0,0.7,40.0,4_2201600_1134750000_2133000000,2.1292001008987427,16.0,33.199,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,35.0,3.0,12.0,0.7,40.0,8_2201600_1134750000_2133000000,2.105136036872864,16.0,34.602,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,36.0,3.0,12.0,0.7,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,37.0,3.0,12.0,0.7,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,38.0,3.0,12.0,0.7,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,39.0,3.0,12.0,0.7,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,40.0,3.0,12.0,0.7,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,41.0,3.0,12.0,0.7,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,42.0,3.0,12.0,0.7,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,43.0,4.0,12.0,0.7,40.0,8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,44.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,45.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,46.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,47.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,48.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,49.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,50.0,4.0,12.0,0.7,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
,,,,10.0,,25.0,0.8,40.0,,,,,,1.0
,,,,11.0,,25.0,0.8,40.0,,,,,,1.0
,,,,12.0,,25.0,0.8,40.0,,,,,,1.0
,,,,13.0,,25.0,0.8,40.0,,,,,,1.0
,,,,14.0,,25.0,0.8,40.0,,,,,,1.0
8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,15.0,0.0,12.0,0.8,40.0,8_1651200_114750000_665600000,8.492335796356201,16.0,14.851,0.0,1.0
8_1344000_114750000_2133000000,8.428063869476318,16.0,15.454,16.0,0.0,12.0,0.8,40.0,12_1958400_114750000_665600000,8.274400234222412,4.0,15.748,0.0,1.0
8_1651200_114750000_3199000000,8.262288093566895,16.0,16.557,17.0,0.0,12.0,0.8,40.0,4_1036800_318750000_665600000,5.277968168258667,16.0,16.958,1.0,1.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,18.0,0.0,12.0,0.8,40.0,4_1958400_318750000_665600000,4.168464183807373,16.0,17.861,1.0,1.0
8_1958400_114750000_3199000000,8.196928024291992,16.0,17.0675,19.0,0.0,12.0,0.8,40.0,4_1958400_522750000_665600000,3.808495998382568,16.0,18.573,1.0,1.0
8_1958400_522750000_665600000,4.026656150817871,16.0,19.364,20.0,1.0,13.0,0.8,40.0,4_1958400_318750000_2133000000,3.479456067085266,16.0,19.679,1.0,1.0
8_2201600_522750000_665600000,3.8727680444717407,16.0,20.169,21.0,1.0,13.0,0.8,40.0,8_2201600_318750000_2133000000,3.43012797832489,16.0,20.881,1.0,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,22.0,1.0,13.0,0.8,40.0,4_1344000_522750000_2133000000,3.3899519443511963,16.0,21.684,2.0,1.0
8_1344000_522750000_2133000000,3.3871039152145386,16.0,21.684,23.0,1.0,13.0,0.8,40.0,8_1651200_522750000_2133000000,3.049296021461487,16.0,22.085,2.0,1.0
4_1344000_726750000_2133000000,3.0856319665908813,16.0,23.674,24.0,2.0,12.0,0.8,40.0,4_2201600_522750000_2133000000,2.6525919437408447,16.0,23.729,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,25.0,2.0,12.0,0.8,40.0,12_2201600_522750000_2133000000,2.635599970817566,16.0,24.688,2.0,1.0
12_1344000_726750000_2133000000,3.10534405708313,16.0,24.581,26.0,2.0,12.0,0.8,40.0,4_1958400_726750000_2133000000,2.4784159660339355,16.0,25.974,2.0,1.0
8_1651200_522750000_3199000000,3.000656008720398,16.0,23.78,27.0,2.0,12.0,0.8,40.0,12_1958400_726750000_2133000000,2.4744319915771484,16.0,26.382,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,28.0,2.0,12.0,0.8,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,29.0,2.0,12.0,0.8,40.0,8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,2.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,30.0,2.0,12.0,0.8,40.0,8_1344000_930750000_3199000000,2.883952021598816,16.0,29.882,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,31.0,2.0,12.0,0.8,40.0,4_1651200_930750000_3199000000,2.4606720209121704,16.0,30.382,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,32.0,2.0,12.0,0.8,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,33.0,2.0,12.0,0.8,40.0,4_1958400_1134750000_2133000000,2.2841439247131348,16.0,31.889,3.0,1.0
8_2201600_726750000_2133000000,2.3042880296707158,16.0,27.283,34.0,2.0,12.0,0.8,40.0,4_2201600_1134750000_2133000000,2.1292001008987427,16.0,33.199,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,35.0,3.0,12.0,0.8,40.0,8_2201600_1134750000_2133000000,2.105136036872864,16.0,34.602,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,36.0,3.0,12.0,0.8,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,37.0,3.0,12.0,0.8,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,38.0,3.0,12.0,0.8,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_930750000_3199000000,2.142416000366211,16.0,34.196,39.0,3.0,12.0,0.8,40.0,12_2201600_930750000_3199000000,2.0692800283432007,16.0,35.6,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,40.0,3.0,12.0,0.8,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,41.0,3.0,12.0,0.8,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1134750000_3199000000,2.070047974586487,16.0,39.1,42.0,3.0,12.0,0.8,40.0,12_2201600_1134750000_3199000000,1.9464159607887268,16.0,39.503,3.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,43.0,4.0,12.0,0.8,40.0,8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,44.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,45.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,46.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,47.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,48.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,49.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
8_2201600_1300500000_3199000000,1.8906399607658384,16.0,42.832,50.0,4.0,12.0,0.8,40.0,12_2201600_1300500000_3199000000,1.8838880062103271,16.0,43.839,4.0,1.0
,,,,10.0,,25.0,0.9,40.0,,,,,,1.0
,,,,11.0,,25.0,0.9,40.0,,,,,,1.0
,,,,12.0,,25.0,0.9,40.0,,,,,,1.0
,,,,13.0,,25.0,0.9,40.0,,,,,,1.0
,,,,14.0,,25.0,0.9,40.0,,,,,,1.0
8_1651200_114750000_665600000,8.504960060119629,32.0,14.851,15.0,1.0,11.0,0.9,40.0,8_1651200_114750000_665600000,8.504960060119629,32.0,14.851,1.0,1.0
8_1344000_114750000_2133000000,8.53596830368042,32.0,15.454,16.0,1.0,11.0,0.9,40.0,12_1958400_114750000_665600000,8.420896053314209,32.0,15.748,1.0,1.0
